DBS0236830	2-6(4)	Green	3		cells	16-MAR-17		
DBS0236426	2-7(6)	Yellow	2		spores	15-AUG-03	Insp6K  Consolidated on 11/20/06 from 10 to 4 vials (1 vial to orange tank).	
DBS0236895	2-6(7)	Blue	3		cells	25-JUL-03	RI-1  Consolidated from 10 to 4 vials on 12/11/07.	
DBS0236896	2-6(8)	Yellow	3		cells	07-JUL-17	RI-19.	
DBS0236440	2-6(20)	Blue	2		spores	04-AUG-03	JB6   Consolidated from 10 to 4 vials on 12/11/07.	
DBS0236436	2-6(19)	Pink	3		spores cells in book	04-AUG-03	JB10 ale. Consolidated from 10 to 4 vials on 12/11/07.	
DBS0236436	1-4(61-63)	Green	8		axenic	02-JAN-06	JB10	
DBS0236455	2-6(14)	Yellow	2		cells	31-JUL-03	Car1-ox  Stored as cAR1-ox. Consolidated from 10 to 4 vials on 12/11/07.	
DBS0236831	6-29(61)	Blue	2		spores	28-SEP-05		
DBS0236831	6-29(70-72)	Blue	3		axenic	28-SEP-05	GFP verified in this stock with confocal microscope.  Previous strain storage lost GFP even at G20.    old tubes in Tank C	
DBS0236831	6-29(70-72)	Green	6		axenic	27-APR-18	New tubes in Tanks A & B	
DBS0236464	2-6(26)	Pink	2		cells	04-AUG-03	JS14  Consolidated from 10 to 4 vials on 12/11/07.	
DBS0236464	2-40(71)	Blue	3		cells	15-OCT-07	neoR  May not good viability cos stores from cleared plates	a little slow, agg-
DBS0236767	1-2(58)	Red	3		cells	12-OCT-16		
DBS0237017	3-14(37)	Blue	3		spores	17-MAR-08	torA-(PD)  restored because red stock has contamination.	4 red vials stored on 9/8/03 were discarded due to contamination.
DBS0235560	2-7(1)	Pink	3		cells	04-SEP-03	Original stock from 8/7/03 was contaminated.  Restored. Consolidated on 11/20/06 from 10 to 4 vials (what happened to vial in orange tank at 2E-1?).	Vials labeled pcp105 crac-
DBS0236457	2-6(13)	Blue	3		cells	31-JUL-03	Consolidated from 10 to 4 vials on 12/11/07.	
DBS0236575	2-6(25)	Blue	3		cells	31-OCT-17	myc2	
DBS0236575	3-11(10-12)	Green	7		axenic	22-MAY-08	myc-2(G&#945;-2)  replenish blue vials stored (6/3/05) from C tank are transferred to OT 2C(64-66).	
DBS0237092	2-7(3)	Yellow	3		spores	12-SEP-03	YakA-GFP  Original stock (8/7/03) restored because of contamination. Consolidated on 11/20/06 from 10 to 4 vials (1 vial to orange tank).	
DBS0237092	6-27(73-75)	Blue	7		axenic	03-JUN-05	YakA-GFP	
DBS0235407	2-7(2)	Blue	3		spores	08-SEP-03	Original stock from 8/7/03 was contaminated. Restored. Consolidated on 11/20/06 from 10 to 4 vials (1 vial to orange tank).	
DBS0237018	2-7(5)	Blue	3		spores	11-AUG-03	TorA-gfp  Consolidated on 11/20/06 from 10 to 4 vials (1 vial to orange tank).	
DBS0235945	2-6(21)	Green	3		cells	04-SEP-03	Original stock from 8/6/03 was contaminated; restored. Consolidated from 10 to 4 vials on 12/11/07.	
DBS0235945	3-13(1-3)	Green	8		axenic	23-SEP-05	LN position replaced HR107 PTX45  Relocated 3/19/08.	
DBS0236414	2-7(4)	Green	3		cells	09-AUG-03	Labeled 357-F. Consolidated on 11/20/06 from 10 to 4 vials (1 vial to orange tank).	easier to start axenically than pdsA550
DBS0236415	2-7(12)	Red	3		cells	18-AUG-03	Labeled 360-F.(HUD1360) Consolidated on 11/20/06 from 10 to 4 vials (1 vial to orange tank).	not easy to start in HL5, but is axenic
DBS0236206	2-7(8)	Green	3		spores	18-AUG-03	Consolidated on 11/20/06 from 10 to 4 vials (1 vial in orange tank)	
DBS0236617	2-10(35)	Red	2		cells	22-DEC-03	Consolidated from 10 to 4 vials on 3/18/08.	purple straw
DBS0236866	2-10(21)	Pink	3		spores	08-DEC-03	Gly-Ras  Consolidated from 10 to 4 vials on 3/18/08.  replaced 4/19/2004 blue vials (spores from SM)	obtained on 9/25/03 in pink straw
DBS0236866	3-15(5)	Blue	3		spores	26-APR-04	Gly-Ras  Replaced blue vials from 4/19/04 which were harvested from SM plates. Consolidated on 11/29/07 from 10 to 4 vials.	Two inventories reflect two different storage batches from Peter Newell's lab for this strain.
DBS0236620	2-10(29)	Blue	3		cells	23-JAN-04	Consolidated from 10 to 4 vials on 3/18/08.  replaced 10 yellow vials from 12/18/03 which yellow contaminant	grey straw
DBS0236621	2-10(22)	Blue	3		cells	08-DEC-03	Consolidated from 10 to 4 vials on 3/18/08.	blue straw
DBS0236626	2-10(40)	Green	3		cells	23-DEC-03	Consolidated from 10 to 4 vials on 3/18/08.	pink straw
DBS0236630	2-10(24)	Yellow	3		cells	10-DEC-03	Consolidated from 10 to 4 vials on 3/18/08.	blue straw
DBS0236685	2-10(15)	Blue	3		cells	04-DEC-03	Consolidated from 10 to 4 vials on 3/18/08.	pink straw
DBS0236686	2-9(27)	Green	3		cells	02-DEC-03	Consolidated from 10 to 4 vials on 12/24/07.	yellow straw
DBS0236602	6-27(19)	Red	3		spores	13-MAY-05		
DBS0236602	6-28(10-12)	Pink	6		axenic	20-MAY-05		
DBS0235551	3-12(5)	Pink	3		spores	10-FEB-04	AX4 WL  Consolidated from 8 vials to 4 vials on 3/19/2008.  spores plus cells stored as AX4(WL) in 5% DMSO	
DBS0235551	4-19(19-21)	Pink	3		axenic	20-NOV-07	AX4 (BL or WL);   2 yellow vials labeled AX4(WL) stored on 9/27/04 poor viability in HL5.	no growth in HL5, wait for the 2nd VT
DBS0236533	2-39(13)	Blue	3		spores	30-AUG-07		brown A.a plate
DBS0237086	5-21(37)	Green	3		spores	29-NOV-04	Consolidated on 11/7/05 from 10 vials at 21(37-39) to 4 vials.	
DBS0236624	2-10(28)	Pink	3		cells	25-FEB-04	Consolidated from 10 to 4 vials on 3/18/08.  first 10-yellow (12/18/03), then 10-green (1/23/04). Both had low viability	pink straw
DBS0236651	2-10(18)	Blue	3		spores	05-DEC-03	Consolidated from 10 to 4 vials on 3/18/08.	grey straw
DBS0236142	3-12(19)	Pink	3		spores	02-MAR-04	HC392  Consolidated from 10 vials to 4 vials on 3/19/2008.	
DBS0236673	2-10(48)	Pink	3		cells	31-DEC-03	Consolidated from 10 to 4 vials on 3/18/08.  red vials stored 12/11/03 were contaminated	orange straw
DBS0236290	3-12(23)	Red	3		cells	03-MAR-04	hm388  Consolidated from 10 vials to 4 vials on 3/19/2008.	
DBS0236663	2-10(46)	Yellow	3		cells	29-DEC-03	Consolidated from 10 to 4 vials on 3/18/08.	yellow straw
DBS0236251	2-10(52)	Blue	3		cells	30-DEC-03	Consolidated from 8 to 4 vials on 3/18/08.	green straw
DBS0236245	2-10(59)	Yellow	3		cells	27-DEC-03	Consolidated from 10 to 4 vials on 3/18/08.	orange straw
DBS0236214	2-10(33)	Blue	4		spores	05-MAY-04	Consolidated from 10 to 4 vials on 3/18/08.  replaced pink vials (cells) from 12/22/03 which were contaminated	grey straw
DBS0236222	2-10(55)	Red	2		cells	27-DEC-03	HL25 PN  Consolidated from 10 to 4 vials on 3/18/08.	blue straw
DBS0236225	2-10(32)	Yellow	3		cells	22-DEC-03	Consolidated from 10 to 4 vials on 3/18/08.	yellow straw
DBS0236275	2-8(26)	Blue	3		cells	29-OCT-03	Consolidated from 10 to 4 vials on 12/24/07.	
DBS0236272	2-8(13)	Red	3		cells	22-OCT-03	Consolidated from 10 to 4 vials on 12/24/07.	
DBS0236270	2-8(5)	Red	3		cells	17-OCT-03	Consolidated from 10 to 4 vials on 12/24/07.	
DBS0236279	1-3(37)	Blue	3		spores	16-MAY-03	Spores plus cells. Consolidated on 9/12/06 from 10 to 4 vials.	
DBS0236622	1-4(24)	Blue	3		cells	11-JUN-03	Consolidated on 9/12/06 from 10 to 4 vials (1 vial to orange tank).	
DBS0237075	1-3(41)	Green	3		cells	22-MAY-03	Consolidated on 9/12/06 from 10 to 4 vials.	
DBS0236327	1-4(17)	Red	3		cells	05-JUN-03	HPX262  Consolidated on 9/12/06 from 10 to 4 vials (1 vial to orange tank).	
DBS0236198	4-20(73-75)	Red	7		axenic	18-NOV-04	HH31 (#84)	
DBS0236198	1-4(3)	Red	3		spores	27-MAY-03	Spores plus cells. Consolidated on 9/12/06 from 10 to 4 vials (1 vial to orange tank).	straw color purple
DBS0236648	1-3(35)	Yellow	3		spores	11-JUN-03	Spores plus cells. Consolidated on 9/12/06 from 10 to 4 vials.	
DBS0237082	1-3(61)	Red	3		spores	20-MAY-03	XP55(PCN)  spores plus cells. Consolidate on 12/29/05 from 10 to 4 vials.	
DBS0236687	1-4(7)	Blue	3		cells	29-MAY-03	Consolidated on 9/12/06 from 10 to 4 vials (1 vial to orange tank).	
DBS0236401	1-3(48)	Red	3		cells	22-MAY-03	Consolidated on 9/12/06 from 10 to 4 vials.	cob-354 is unstable
DBS0236200	4-20(40-42)	Blue	8		axenic	03-NOV-04	vials labeled "HH31"	
DBS0236200	1-4(4)	Blue	3		spores	27-MAY-03	Spores plus cells. Consolidated on 9/12/06 from 10 to 4 vials (1 vial to orange tank).	straw color green
DBS0236284	1-5(1)	Red	3		cells	11-JUN-03	consolidated from 10 vials to 4 on 5/1/08.	
DBS0236668	2-7(20)	Yellow	3		cells	09-OCT-03	Consolidate on 11/20/06 from 10 vials to 4 vials (1 vial in orange tank).	green straw
DBS0236693	2-7(17)	Pink	3		cells	09-OCT-03	Originally stored 7/13/03; discard old green vials 2/23/04. Consolidated on 11/20/06 from 10 to 4 vials (1 vial to orange tank).	pink straw
DBS0236614	2-7(25)	Blue	3		cells	16-OCT-03	Consolidate on 11/20/06 from 10 vials to 4 vials (1 vial in orange tank).	green straw
DBS0236615	2-7(19)	Red	3		cells	09-OCT-03	Consolidate on 11/20/06 from 10 vials to 4 vials (1 vial in orange tank).	orange straw
DBS0236619	2-7(22)	Green	3		cells	22-APR-04	Replaced 10/9/2003 vials which were contaminated. Consolidate on 11/20/06 from 10 vials to 4 vials (1 vial in orange tank).	green straw
DBS0236140	2-7(21)	Blue	3		cells	09-OCT-03	Consolidate on 11/20/06 from 10 vials to 4 vials (1 vial in orange tank).	green straw
DBS0236496	1-5(24)	Red	3		spores and cells	07-JUL-03	spores plus cells  consolidated from 10 vials to 4 on 5/1/08.	
DBS0237085	1-4(12)	Blue	3		spores	26-JUN-03	First stored 6/2/03 (contaminated and restored); spores plus cells. Consolidated on 9/12/06 from 10 to 4 vials (1 vial to orange tank).	
DBS0236660	1-5(16)	Red	3		spores	15-JUL-03	Consolidated from 10 to 4 vials on 7/21/06.	
DBS0236637	1-5(38)	Blue	3		spores	08-JUL-03	Consolidated from 10 to 4 vials on 7/21/06. moved from 1-5(29) to 1-5(38)	
DBS0237074	1-5(37)	Yellow	3		spores	02-SEP-03	No sorocarps on SM; replaced yellow vials stored 7/7/03 by ah because of low viability. moved from 1-5(28) to 1-5(37)	Consolidated from 10 to 4 vials on 7/21/06.
DBS0236443	3-14(52)	Blue	3		spores	26-MAR-04		
DBS0236443	3-12(70-72)	Red	9		axenic	02-MAR-04	Relocate the position on 3/19/08.	
DBS0235759	3-14(35)	Yellow	3		spores	05-APR-04	NC4 PCN  Consolidated on 11/7/05 from 10 vials at 3-14(34-36) to 4 vials.	
DBS0235759	1-1(27)	Yellow	3		spores	09-JUN-03	Originally 10 vials stored at boxes  4(61-63); consolidated on 11/2/05.	green straw (not on inventory list)
DBS0236642	1-5(2)	Green	3		cells	08-OCT-03	originally stored in June 2003; replaced because of low viability	blue straw  consolidated from 10 vials to 4 on 5/1/08.
DBS0236689	2-9(26)	Red	3		cells	02-DEC-03	First ones stored 6/26/03 and 7/23/03 by Anupama were lost.	Consolidated from 10 to 4 vials on 12/24/07.
DBS0236867	1-4(20)	Pink	3		spores	15-JUL-03	Replaced yellow vials from 6/9/2003 (yellow contaminant). Vials labeled Thr-ras. Consolidated on 9/12/06 from 10 to 4 vials (1 vial to orange tank).	good growth and sporulation on SM/5+G418 (1/30/07)
DBS0235559	2-36(34)	Blue	3		cells	28-MAR-07	BW4crac-  Stock from 6/12/06 replaced because of molds.	consolidated from 10 to 4 vials.  Original stock in 1-5(76-78) is gone (4/13/07). agg-
DBS0235559	4-17(32-34)	Red	4		axenic	25-JAN-08	BW4(a)  place order in HL5, and send out with B5	2nd and 3rd VT on 2/6/8 and 2/7/08; checked 2/20/08 clean and confluent, floating aggs. VT on 1/31/8 shows molds in B5.
DBS0235559	2-8(61-63)	Yellow	6		axenic	18-FEB-08	BW4(dagA-)  stored axenic culture twice because takes month to get the strain grow axenically (in B5)	checked 4 days after; floating aggs in HL5, rechecked 3/3/8, confluent and in good condition. Takes a while to grow to confluence.
DBS0236876	6-27(40-42)	Yellow	4		axenic	16-MAY-05	rtoA-(MC)  Restored due to contamination	
DBS0236456	2-6(35)	Red	3		cells	09-JUL-08	JM1  slow, only a few colonies	4 green vials stored 7/24/03 removed 7/30/08 because they have no G418 resistance.
DBS0236488	5-24(4)	Blue	3		cells	02-FEB-05	Consolidated from 10 to 4 vials on 3/26/2008.	Restored due to contamination.
DBS0236396	1-3(34)	Green	3		spores	11-JUN-03	Spores plus cells. Consolidated on 9/12/06 from 10 to 4 vials.	
DBS0236645	2-7(11)	Pink	3		cells + spores	20-AUG-06	Consolidated on 11/20/06 from 10 to 4 vials (1 vial to orange tank).  VT6/12/07byzl shows clean and viable, very sluggy on SM/5 plate	Pink vials from 5/23/03 discarded 3/12/07.
DBS0236398	1-3(42)	Yellow	3		spores	22-MAY-03	Spores plus cells. Consolidated on 9/12/06 from 10 to 4 vials.	cob-354 is unstable
