DBS0235407	decreased culmination				
DBS0235410	aberrant mound color				yellow mounds
DBS0235411	aberrant mound color				yellow mounds
DBS0235418	abolished aggregation				
DBS0235429	abolished aggregation				
DBS0235454	abolished aggregation				
DBS0235460	abolished aggregation				
DBS0235461	aberrant aggregation				loose mounds
DBS0235463	decreased aggregate size				tight mound
DBS0235465	multiple tips in mound				
DBS0235466	increased stalk length				
DBS0235468	abolished aggregation				
DBS0235493	increased cell-cell adhesion				
DBS0235495	delayed development				
DBS0235515	abolished aggregation				
DBS0235538	abolished aggregation				
DBS0235555	multiple tips				
DBS0235557	multiple tips				
DBS0235559	abolished aggregation				
DBS0235560	decreased growth rate				
DBS0235562	abolished aggregation				
DBS0235570	abolished aggregation				
DBS0235609	delayed development				
DBS0235609	decreased growth rate				
DBS0235612	abolished aggregation				
DBS0235624	increased aggregate size				
DBS0235624	increased stalk width				
DBS0235624	increased fruiting body size				
DBS0235635	increased standing slug length				
DBS0235654	aberrant slug formation				small migrating pseudoplasmodia
DBS0235654	aberrant slug formation				small migrating pseudoplasmodia
DBS0235655	decreased slug size				
DBS0235657	aberrant fruiting body morphology				
DBS0235661	aberrant fruiting body morphology				
DBS0235661	abolished sporulation				
DBS0235666	decreased aggregate size				
DBS0235670	decreased stalk length				
DBS0235678	decreased aggregate size				"tiny aggregates, yellow"
DBS0235682	curly fingers				
DBS0235683	increased stalk length				
DBS0235689	decreased stalk length				
DBS0235689	decreased sporulation				
DBS0235692	curly fingers				
DBS0235891	curly fingers				
DBS0235895	decreased prestalk 0 cell differentiation				
DBS0235899	decreased prestalk 0 cell differentiation				
DBS0235945	abolished aggregation				
DBS0235950	aberrant aggregation				tight mound
DBS0235951	increased slug migration				
DBS0235953	increased stalk length				
DBS0235974	aberrant aggregation				tight mound
DBS0235986	abolished aggregation				
DBS0236000	decreased chemotaxis rate				
DBS0236006	precocious development				
DBS0236070	decreased growth rate				
DBS0236111	abolished culmination				
DBS0236128	abolished aggregation				
DBS0236132	abolished aggregation				
DBS0236133	abolished aggregation				
DBS0236134	abolished aggregation				
DBS0236135	abolished aggregation				
DBS0236136	abolished aggregation				
DBS0236137	abolished aggregation				
DBS0236138	abolished aggregation				
DBS0236139	abolished aggregation				
DBS0236140	abolished aggregation				
DBS0236150	abolished aggregation				
DBS0236151	aberrant spore morphology				round spores
DBS0236159	decreased growth rate				
DBS0236192	abolished aggregation				
DBS0236194	precocious development				
DBS0236208	aberrant spore color				white spores
DBS0236211	increased stalk length				
DBS0236214	increased stalk length				
DBS0236216	increased stalk length				
DBS0236219	increased stalk length				
DBS0236220	delayed development				
DBS0236221	aberrant development				
DBS0236222	increased stalk length				
DBS0236225	increased stalk length				
DBS0236227	increased stalk length				
DBS0236230	aberrant spore color				white spores
DBS0236233	decreased spore viability				
DBS0236236	decreased spore viability				
DBS0236237	decreased spore viability				
DBS0236239	aberrant spore color				white spores
DBS0236241	aberrant spore color				white spores
DBS0236243	increased stalk length				
DBS0236244	increased stalk length				
DBS0236245	increased stalk length				
DBS0236247	increased stalk length				
DBS0236250	increased stalk length				
DBS0236251	increased stalk length				
DBS0236253	increased stalk length				
DBS0236256	aberrant aggregation				loose mounds
DBS0236258	increased sporulation				
DBS0236260	decreased fruiting body size				
DBS0236263	aberrant spore color				white spores
DBS0236263	decreased aggregate size				tight mound
DBS0236263	aberrant spore morphology				round spores
DBS0236265	aberrant spore color				white spores
DBS0236265	decreased aggregate size				tight mound
DBS0236265	aberrant spore morphology				round spores
DBS0236268	increased stalk length				
DBS0236269	aberrant aggregation				"tight mound, sensitive"
DBS0236270	aberrant aggregation				"tight mound, sensitive"
DBS0236271	decreased aggregate size				tight mound
DBS0236271	precocious development				
DBS0236272	aberrant aggregation				"tight mound, sensitive"
DBS0236273	aberrant spore color				white spores
DBS0236273	decreased aggregate size				tight mound
DBS0236273	aberrant spore morphology				round spores
DBS0236275	aberrant aggregation				"tight mound, sensitive"
DBS0236278	aberrant aggregation				"tight mound, sensitive"
